PubmedID,Title,Date,Authors,Affiliations,Email
40616323,Intra-arterial Tenecteplase for Acute Stroke After Successful Endovascular Therapy: The ANGEL-TNK Randomized Clinical Trial.,2025,"Yuesong Pan, Xingquan Zhao, Jing Jing, Yunyun Xiong, Zixiao Li, Yilong Wang, Yongjun Wang, Liping Liu","China National Clinical Research Center for Neurological Diseases, Beijing, Beijing, China.",N/A
40608836,Detecting soil-transmitted helminth and Schistosoma mansoni eggs in Kato-Katz stool smear microscopy images: A comprehensive in- and out-of-distribution evaluation of YOLOv7 variants.,2025,Peter Kenneth Ward,"Enaiblers AB, Uppsala, Sweden.",N/A
40602346,Pseudomonas aeruginosa vaccine identified by the AI-immunology™ platform improves outcomes in a murine biofilm lung infection model.,2025,"Andreas Holm Mattsson, Pär Comstedt","Evaxion Biotech, Dr Neergaards vej 5F, 2970 Hørsholm, Denmark.",N/A
40598566,"Palazestrant, a novel oral Complete Estrogen Receptor Antagonist (CERAN) and Selective Estrogen Receptor Degrader (SERD), in patients with ER+/HER2- advanced or metastatic breast cancer: phase 1/2 study results.",2025,"Meena Okera, Nicole McCarthy, Morena Shaw, Margaret Tonda, Mark Shilkrut","Cancer Research SA, Adelaide, SA, Australia.; ICON Cancer Centre, Auchenflower, QLD, Australia.; Olema Oncology, San Francisco, CA, USA.",N/A
40588561,Chemosensor receptors are lipid-detecting regulators of macrophage function in cancer.,2025,"Javier Cibella, Clelia Peano","Human Technopole, Milan, Italy.",N/A
40588371,Phase II basket trial of Dual Anti-CTLA-4 and anti-PD-1 blockade in Rare Tumors (DART) SWOG S1609: pancreatic neuroendocrine neoplasm (PNEN) cohort.,2025,"Sandip Pravin Patel, Anup Kasi, Mark Walshauser, Christine M Magner, Megan Othus, Christopher W Ryan, Charles Blanke","OHSU, Portland, Oregon, USA.; UC San Diego Health Moores Cancer Center, La Jolla, California, USA spatel@ucsd.edu.; SWOG, San Antonio, Texas, USA.; Cancer Care Center of O'Fallon, O'Fallon, Illinois, USA.; Fred Hutchinson Cancer Research Center, Seattle, Washington, USA.; KUMC, Kansas City, Kansas, USA.",spatel@ucsd.edu
40562770,Outcomes of teclistamab in patients with relapsed/refractory multiple myeloma with prior exposure to BCMA-directed therapy: a multicenter study from the U.S. Multiple Myeloma Immunotherapy Consortium.,2025,"Danai Dima, Mariola A Vazquez-Martinez, Utkarsh Goel, Aimaz Afrough, Aishwarya Sannareddy, Oren Pasvolsky, Jack Khouri, Ariel Grajales-Cruz, Mahmoud R Gaballa, Gabriel De Avila, Shahzad Raza, Megan M Herr, Tiffany Richards, Gurbakhash Kaur, Omar Castaneda Puglianini, Yi Lin, Kenneth H Shain, Doris K Hansen, Krina K Patel, Larry D Anderson, Hans C Lee, Faiz Anwer","Moffitt Cancer Center, Tampa, FL, USA.; Cleveland Clinic Taussig Cancer Center, Cleveland, OH, USA. ddima@fredhutch.org.; Cleveland Clinic Taussig Cancer Center, Cleveland, OH, USA.; Mayo Clinic, Rochester, MN, USA.; Roswell Park Comprehensive Cancer Center, Buffalo, NY, USA.; Simmons Comprehensive Cancer Center, UT Southwestern Medical Center, Dallas, TX, USA.; MD Anderson Cancer Center, Houston, TX, USA.",ddima@fredhutch.org
40559746,Development of an Immunochromatographic Test with Recombinant MIC2-MIC3 Fusion Protein for Serological Detection of ,2025,"Jicheng Qiu, Xialin Ma, Xiaojie Wu, Xiaoguang Li","Hangzhou Evegen Biotech Co., Ltd., Hangzhou 310018, China.; Beijing Yuanda Xinghuo Medicine Technology Co., Ltd., Beijing 102615, China.",N/A
40536197,Revolution of AAV in Drug Discovery: From Delivery System to Clinical Application.,2025,"Yuhua Shang, Tengchuan Jin","Anhui Genebiol Biotech. Ltd., Hefei, Anhui, China.",N/A
40526051,"Artificial intelligence, machine learning, and digitalization systems in the cell and gene therapy sector: a guidance document from the ISCT industry committees.",2025,"Vincenzo Di Cerbo, Sean J Hart, Rukmini Ladi, Shanya Jiang, Abeer Madbouly, Lydia Redmond, Simone Stickland, Anand Srinivasan, Keara Trinkle, Anthony Ting, Shannon S Eaker, Dalip Sethi","Ori Biotech, Philadelphia, Pennsylvania, USA.; Terumo Blood and Cell Technologies, Inc., Lakewood, Colorado, USA. Electronic address: dalip.sethi@terumobct.com.; CIBMTR (Center for International Blood and Marrow Transplant Research), NMDP, Minneapolis, Minnesota, USA.; Xcell Biosciences Inc, San Francisco, California, USA.; LumaCyte, Inc., Charlottesville, Virginia, USA.; Cell and Gene Therapy Catapult, London, UK.; BioBridge Global, San Antonio, Texas, USA.; Sartorius Stedim North America Inc., Bohemia, New York, USA.; Sartorius Stedim North America Inc., Ann Arbor, Michigan USA.; ISCT, Vancouver, BC, Canada.; BRL C&GT Consulting, LLC, Shaker Heights, Ohio, USA.",dalip.sethi@terumobct.com
40514065,Predictive value of preclinical models for CAR-T cell therapy clinical trials: a systematic review and meta-analysis.,2025,"David Andreu-Sanz, Lisa Gregor, Emanuele Carlini, Sebastian Kobold","Division of Clinical Pharmacology, LMU Klinikum, Member of the German Center for Lung Research (DZL), Munich, Germany.; Division of Clinical Pharmacology, LMU Klinikum, Member of the German Center for Lung Research (DZL), Munich, Germany sebastian.kobold@med.uni-muenchen.de.; Einheit für Klinische Pharmakologie (EKLiP), Helmholtz Zentrum München - German Research Center for Environmental Health Neuherberg, Munich, Germany.",sebastian.kobold@med.uni-muenchen.de
40513575,CSF1R,2025,"Herrad Baurmann, Werner Müller","Miltenyi Biotec B.V. & Co. KG, Bergisch Gladbach, Germany.",N/A
